id,GridID,X_coord,Y_coord
2327,1884,1762870,5917250
2406,1885,1763370,5917250
2485,1886,1763870,5917250
2564,1887,1764370,5917250
2643,1888,1764870,5917250
2722,1889,1765370,5917250
2801,1890,1765870,5917250
2880,1891,1766370,5917250
2959,1892,1766870,5917250
3433,1898,1769870,5917250
825,1918,1753370,5917750
904,1919,1753870,5917750
983,1920,1754370,5917750
1062,1921,1754870,5917750
1141,1922,1755370,5917750
1220,1923,1755870,5917750
1299,1924,1756370,5917750
1378,1925,1756870,5917750
1457,1926,1757370,5917750
1536,1927,1757870,5917750
1615,1928,1758370,5917750
1694,1929,1758870,5917750
1773,1930,1759370,5917750
1852,1931,1759870,5917750
1931,1932,1760370,5917750
2010,1933,1760870,5917750
2089,1934,1761370,5917750
2168,1935,1761870,5917750
2247,1936,1762370,5917750
2326,1937,1762870,5917750
2405,1938,1763370,5917750
2484,1939,1763870,5917750
2563,1940,1764370,5917750
2642,1941,1764870,5917750
2721,1942,1765370,5917750
2800,1943,1765870,5917750
2879,1944,1766370,5917750
2958,1945,1766870,5917750
3037,1946,1767370,5917750
3116,1947,1767870,5917750
3195,1948,1768370,5917750
824,1971,1753370,5918250
903,1972,1753870,5918250
982,1973,1754370,5918250
1061,1974,1754870,5918250
1140,1975,1755370,5918250
1219,1976,1755870,5918250
1298,1977,1756370,5918250
1377,1978,1756870,5918250
1456,1979,1757370,5918250
1535,1980,1757870,5918250
1614,1981,1758370,5918250
1693,1982,1758870,5918250
1772,1983,1759370,5918250
1851,1984,1759870,5918250
1930,1985,1760370,5918250
2009,1986,1760870,5918250
2246,1989,1762370,5918250
2325,1990,1762870,5918250
2404,1991,1763370,5918250
2483,1992,1763870,5918250
2562,1993,1764370,5918250
2641,1994,1764870,5918250
2720,1995,1765370,5918250
2799,1996,1765870,5918250
2878,1997,1766370,5918250
2957,1998,1766870,5918250
3036,1999,1767370,5918250
3115,2000,1767870,5918250
823,2024,1753370,5918750
902,2025,1753870,5918750
981,2026,1754370,5918750
1060,2027,1754870,5918750
1139,2028,1755370,5918750
1218,2029,1755870,5918750
1297,2030,1756370,5918750
1376,2031,1756870,5918750
1455,2032,1757370,5918750
1534,2033,1757870,5918750
1613,2034,1758370,5918750
